"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","461","User can login","chromium","2026-03-28","passed","2026-03-28","UI - SauceDemo Login","ui/sauceDemo/login.spec.ts","",""
"","762","User can complete checkout with one product","chromium","2026-03-28","passed","2026-03-28","UI - SauceDemo Checkout","ui/sauceDemo/checkout.spec.ts","",""
"","1783","Home page loads","chromium","2026-03-28","passed","2026-03-28","UI - Automation Exercise","ui/automationExercise/home.spec.ts","",""
"","423","Locked out user cannot login","chromium","2026-03-28","passed","2026-03-28","UI - SauceDemo Locked Out User","ui/sauceDemo/lockedOutUser.spec.ts","",""
"","472","User is already logged in via fixture","chromium","2026-03-28","passed","2026-03-28","UI - SauceDemo Login With Fixture","ui/sauceDemo/loginWithFixture.spec.ts","",""
"","1765","Home page performance is under threshold","chromium","2026-03-28","passed","2026-03-28","Performance - Automation Exercise","performance/automationExercise/home.perf.spec.ts","",""
"","648","Login page performance is under threshold","chromium","2026-03-28","passed","2026-03-28","Performance - SauceDemo","performance/sauceDemo/home.perf.spec.ts","",""
"","114","GET users list","chromium","2026-03-28","skipped","2026-03-28","API - ReqRes Users","api/reqres/users.spec.ts","",""
"","664","User can add backpack to cart","chromium","2026-03-28","passed","2026-03-28","UI - SauceDemo Add To Cart","ui/sauceDemo/addToCart.spec.ts","",""
"","191","GET posts list","chromium","2026-03-28","passed","2026-03-28","API - JSONPlaceholder Posts","api/jsonplaceholder/posts.spec.ts","",""
